Artist,Album,Track,Year,Genre,Duration (min)
Surgeon,Whose Bad Hands Are These? Pt. 1 - EP,Bad Hands Break,2007,Electronic,6.07
Regis,Manbait,"Blood Witness (12"" Mix)",2011,Electronic,6.41
Ancient Methods,Seventh Seal - EP,Knights & Bishops,2013,Techno,5.32
Orphx,Sacrifice - Single,What Will Burn,2014,Dance,9.00
Paula Temple,Deathvox - Single,Deathvox,2014,Electronic,5.42
SHXCXCHCXSH,Strgths,Lttlwlf,2013,Techno,5.91
Scalameriya,Kepslok - Single,Kepslok,2016,Dance,4.94
Ansome,Hounds of the Harbour,Pedal To the Metal,2019,Dance,5.00
Orphx,Summer Solstice Edition - EP,Aurora,2016,Electronic,10.28
Thomas Schumacher & A.D.H.S.,Mirazh - Single,Mirazh,2024,Techno,3.42
Charlotte de Witte,Sanctum (feat. Marion Di Napoli) - EP,Sanctum (feat. Marion Di Napoli),2024,Techno,5.87
