Artist,Album,Track,Year,Genre,Duration (min)
Rødhåd,Blindness - EP,Blindness,2012,Techno,3.52
Deepbass & NESS,Distance - EP,Proximity (Bonus),2012,Electronic,9.03
Ø [Phase],Remixed - EP,Perplexed (Rødhåd's Extended Mix),2014,Techno,10.26
Błażej Malinowski,Entity,Entity,2025,Electronic,7.75
Evigt Mörker,Scandinavian Swords II,Tom Himmel,2016,Techno,5.66
Shifted,Control - EP,Structure,2011,Electronic,5.84
Donato Dozzy,Terzo Giorno - EP,Sotto Ma Sotto,2014,Techno,5.28
Abdulla Rashim,A Shell of Speed,A Shell of Speed,2015,Techno,6.48
Shifted,Appropriation Stories,Vacive,2016,Electronic,6.54
Voices from The Lake,Secondo Tempo - Single,Ibrida,2016,Dance,6.69
Setaoc Mass,Cipher - EP,Flying Buttress,2016,Techno,4.78
SHXCXCHCXSH,Rjrjrffrjrj - EP,Znnznznnzn,2013,Techno,7.83
Inigo Kennedy,Vaudeville,Plaintive,2014,Techno,7.45
Dino Sabatini & Donato Dozzy,Journey Back to Ithaca - Single,Telemacus,2013,Techno,5.30
Polar Inertia,Kinematic Optics - EP,Hell Frozen Over,2015,Dance,8.60
Svreca & Voices from The Lake,Between the Lines - EP,Circa,2017,Dance,6.08
Marcel Fengler,Enigma - EP,Enigma,2010,Electronic,6.33
Cassegrain,Arcs-03 - Single,Vultures (Shifted Remix),2017,Techno,5.59
Artefakt,DJ-Kicks (DJ Mix),The Fifth Planet (Mixed),2016,Techno,10.64
Slam,"Factory Music / Cirklon Bells (Slam, Hans Bouffmyhre, Truncate & Edit Select Remxies) - EP",Cirklon Bells (Edit Select Remix),2014,Dance,6.18
Answer Code Request,Breathe - Single,Breathe,2014,Electronic,6.50
Oscar Mulero,Perfect Peace (Lp),Acceptance,2019,Techno,6.14
O/V/R & James Ruskin,Post-Traumatic Son - Robert Hood / DVS1 Mixes - EP,Post-Traumatic Son (DVS1 Pessimist Mix),2011,Dance,7.07
Donor,Monad Ii,Confine,2010,Techno,6.53
Answer Code Request,Gens,Cicadae,2018,Electronic,6.64
Answer Code Request,Mdr 18 - EP,Modal,2015,Techno,4.77
Answer Code Request,Neume - Single,Meta,2016,Electronic,7.31
Dasha Rush,Relativismi - Single,Side Ways,2011,Dance,7.17
Polar Inertia,Polar Inertia Remixed - EP,Black Sun (Abdulla Rashim Remix),2013,Dance,10.03
Polar Inertia,Indirect Light - EP,Sole Star,2012,Dance,8.90
Lucy,Dyscamupia - EP,Dyscamupia (Paused),2019,Techno,5.73
Luigi Tozzi,Tender Is the Night - EP,Allergic,2019,Techno,6.12
Dasha Rush,Relativismi - Single,Dark Light Blind,2011,Dance,6.11
Abdulla Rashim,Of Water and the Spirit - Single,Of Water and the Spirit,2016,Techno,7.62
Noizinski,Inner Conflict - EP,Inner Conflict,2022,Electronic,4.42
Luigi Tozzi,Deep Blue: Volume 2,Epipelagic,2016,Techno,8.44
Artefakt,Kinship,Somatic Dreams,2017,Dance,5.97
Artefakt,Kinship,Kinship,2017,Dance,5.82
