Playlist Name,Description,Last Modified,Can Edit
"2024, shuffle",,2025-05-13T09:55:37Z,true
"Alternative, Grunge",,2025-08-28T09:33:51Z,true
"Alternative, Noise Rock","Noise rock is rock music that pushes dissonance, feedback, and abrasive texture to the front while keeping a solid rhythm section and recognizable song skeleton. Born from late-’70s No Wave and hardened in the ’80s–’90s Midwest scenes, it swaps melody for tension: detuned guitars, harsh distortion, clipped repetition, lurching grooves, vocals from deadpan to feral. It isn’t pure “noise”—the rock engine stays—yet it’s harsher than shoegaze, less dance-oriented than dance-punk, and less riff-metal than sludge. The appeal is catharsis and texture: controlled chaos at the edge of rock.",2025-08-26T07:56:05Z,true
"Ambient, Dark Ambient","Dark ambient centers on sustained drones, sub-bass rumbles, and granular field recordings arranged to create cavernous, oppressive atmospheres rather than melody or rhythm. Percussion is minimal to absent; harmony is ambiguous, often dissonant or microtonal, with textures drawn from environmental sound, analog hum, and restrained industrial or ritual timbres. Unlike industrial noise, it avoids harsh rhythmic assault; unlike classic ambient, it leans into darkness, tension, and psychological unease—suggesting deserted architecture, cosmic voids, or subterranean spaces.",2025-08-11T15:08:10Z,true
Animal Jazz,,2025-08-21T11:43:54Z,true
Archive,,2025-02-20T00:05:07Z,true
Assemblage 23,,2025-08-22T05:52:22Z,true
Brainstorm,,2025-08-21T14:43:20Z,true
Deftones,,2025-07-16T10:05:24Z,true
Detroit Flow,,2025-04-28T09:54:21Z,true
"Detroit Flow, Post Rock Edition",,2025-04-28T09:54:32Z,true
"Electronic, Classic Electro",,2025-08-19T06:39:00Z,true
"Electronic, Jungle",,2025-08-14T07:29:53Z,true
Grave Digger,,2025-08-21T09:48:31Z,true
"Hardcore, Hardcore Punk",Created from CSV import,2025-06-30T15:44:10Z,true
"Hardcore, Mathcore",Created from CSV import,2025-06-30T15:04:28Z,true
"Hardcore, Post Hardcore",Created from CSV import,2025-08-15T07:40:30Z,true
"Hardcore, Screamo","Screamo is a strain of 1990s post-hardcore rooted in hardcore punk, marked by cathartic screamed vocals, confessional lyrics, and whiplash dynamics—fragile, often melodic passages erupting into chaotic, intensely emotional outbursts—typically delivered with raw, DIY production and jagged, tightly wound rhythms.",2025-08-15T13:04:56Z,true
"House, Progressive House",,2025-06-23T21:12:04Z,true
"IDM, Ambient IDM","Ambient IDM is a genre that merges the intricate rhythms and digital textures of IDM with the spacious, serene atmospheres of ambient music—resulting in immersive, introspective soundscapes.",2025-06-29T07:10:33Z,true
"IDM, Classic IDM",,2025-08-14T07:29:03Z,true
"IDM, Electro IDM","Electro IDM is a cerebral fusion of electro’s glitchy, syncopated beats with IDM’s complex rhythms, abstract textures, and experimental sound design—blending machine-funk with sonic exploration.",2025-06-29T07:15:57Z,true
"Indie, Indie Rock",,2025-06-26T07:50:05Z,true
"Indie, Indietronica","Indietronica is a fusion genre combining the emotional intimacy and melodic sensibility of indie music with the textures, rhythms, and production techniques of electronic music. It often features soft vocals, synth-driven arrangements, glitchy or lo-fi elements, and a DIY aesthetic. The mood ranges from dreamy and introspective to danceable and upbeat, but always retains a personal, handmade feel.",2025-06-25T15:32:10Z,true
"Indie, Jangle Pop",,2025-08-14T07:30:08Z,true
"Industrial, Dark Electro","Dark Electro is a dark, aggressive offshoot of electro-industrial that blends harsh synths, distorted vocals, and ominous atmospheres—often rooted in themes of dystopia, horror, and cyberpunk.",2025-06-27T16:29:03Z,true
"Industrial, Futurepop","Futurepop is a melodic and danceable fusion of synthpop, EBM, and trance, characterized by clean vocals, catchy hooks, uplifting melodies, and futuristic, often emotional themes.",2025-08-28T09:37:25Z,true
Marilyn Manson,,2025-02-21T12:52:44Z,true
"Metal, Death, Melodic Death",,2025-06-25T13:45:30Z,true
"Metal, Death, Technical",,2025-08-14T07:30:53Z,true
"Metal, Doom Metal",,2025-08-17T14:28:59Z,true
"Metal, Heavy Metal",,2025-08-11T13:52:25Z,true
"Metal, Industrial Metal",,2025-08-28T09:36:37Z,true
"Metal, Metalcore",,2025-08-09T07:17:42Z,true
"Metal, Post Metal",,2025-08-15T07:20:48Z,true
"Metal, Power Metal",,2025-08-15T11:27:17Z,true
"Metal, Sludge Metal",,2025-08-14T07:43:13Z,true
"Metal, Trash Metal",,2025-06-28T17:05:32Z,true
"Pop, Avant Pop","Avant-pop is a genre that blends experimental or avant-garde techniques with accessible pop music structures, creating artful yet melodic and unconventional songs.",2025-07-01T12:23:58Z,true
