Playlist Name,Description,Last Modified,Can Edit
ALT CTRL,Verdwaal in de duistere gloed van 'As Alive As You Need Me To Be' van Nine Inch Nails.,2023-04-10T21:23:48Z,false
Antidote,"De muziek van de verandering, de hokjesloosheid en de vrijheid.",2024-09-15T13:31:05Z,false
At the Gates essentials,De melodische deathmetalheads dragen de metalvlag van Gothenburg.,2025-02-22T21:10:02Z,false
Beats + breaths,Soundscapes en beats die naadloos bij je yoga-oefening passen.,2024-08-04T21:06:17Z,false
Beneath the stars,Dromerige indiepop en altrock.,2024-09-15T19:34:15Z,false
Breaking: metal,Deze metalnummers staan op het punt om door te breken.,2023-06-11T05:37:45Z,false
Deep focus,"“Hé Siri, speel Deep focus playlist.”",2025-07-16T17:34:44Z,false
Diep in de underground,Duik in de meest intense vooruitstrevende clubtracks.,2022-12-21T03:48:57Z,false
Dé indie van dit moment,"Hoe het ook klinkt, ware indie is onafhankelijk van geest.",2023-10-29T22:51:52Z,false
Electrobreaks,Hoekige beats en vuistdikke bassen: dit is electro.,2023-06-11T05:42:48Z,false
Extreme metal,"Black, death, thrash of grind: hoe bruter hoe beter.",2024-10-29T07:27:12Z,false
Favoriete nummers,,2025-08-22T21:23:06Z,false
Geavanceerde clubgrooves,Futuristische experimenten vol dansbare beats.,2023-03-20T04:34:01Z,false
Glitch,"Hier klinkt het geluid van de toekomst, speels gedrenkt in neon.",2023-05-30T03:49:24Z,false
Headspace,Creëer rust in je hoofd met deze ruimtelijke elektronica.,2023-03-20T04:33:30Z,false
Heaps heavy,Dit is een verzameling Australische stompen in je onderbuik.,2024-10-26T18:03:32Z,false
Het paradijs van deephouse,"Voel de warme, verleidelijke vibe van moderne deephouse.",2024-02-14T20:44:25Z,false
Hypnotiserende techno,Pulserende beats en  minimale soundscapes maken je hoofd leeg.,2023-05-30T03:48:19Z,false
INDIY,Je dagelijkse dosis indiepop en ingehouden R&B.,2024-09-14T16:56:41Z,false
Jazz currents,Nieuwe richtingen in de wereld van de moderne jazz,2024-02-20T21:50:19Z,false
Jazzzzzzzzzzzzzzz,,2022-12-08T04:48:00Z,false
Loops,"Innovatieve, elektronische muziek op zijn best.",2023-03-20T04:33:02Z,false
Melodic house & techno,"De track is gestopt, maar de melodie blijft hangen.",2023-03-20T04:34:46Z,false
Minimal,Grooves zonder franje en trippy vibes.,2024-09-15T17:13:27Z,false
Nachtelijke rit,"Krachtige, melodieuze elektronica voor een meditatieve sfeer.",2024-02-14T20:44:15Z,false
Negative space,De rauwste sensaties slepen je mee in hun wilde undergroundscene.,2024-09-15T17:21:38Z,false
New latitudes,,2023-05-30T03:49:37Z,false
New Music Daily,"'Jealous Type' is Doja Cat op haar best: brutaal, catchy en onweerstaanbaar.",2023-10-01T09:44:40Z,false
Next tracks,Experimentele dancetracks en next-level beats.,2023-03-20T04:33:40Z,false
Nieuw in alternative,,2023-02-19T06:18:54Z,false
Nieuw in elektronisch,,2023-03-20T04:33:17Z,false
Nieuw in indie,"Verfrissende, dwarse en onbedwingbare indiesongs.",2023-04-06T05:03:21Z,false
Nieuw in rock,,2022-11-29T06:38:20Z,false
On the corner,"Op de straathoeken in de VS klinkt rauwe funk, jazz en soul.",2024-06-16T15:44:33Z,false
Optimus metallum,Verwen je nekspieren met de bruutste en extreemste metal.,2022-11-29T12:16:20Z,false
Outer orbits,Experimentalisten banen een jazzy pad door woekerende wildernis.,2024-02-29T06:32:17Z,false
Peak techno,Harde tracks die je hartslag verhogen en je door de nacht slepen.,2023-03-20T04:34:52Z,false
Pure Jazz,,2022-12-08T04:47:35Z,false
Replay allertijden,"Beleef je favoriete tracks allertijden opnieuw, verzameld op één plek.",2025-06-30T19:43:28Z,false
"Sad, bitter and angry",Nare break-up achter de rug? Reageer je af en huil uit met deze rock.,2025-07-02T20:19:35Z,false
Screamo essentials,Furieus riffwerk en door merg en been snijdende vocalen.,2025-08-15T12:58:40Z,false
Setlist: Belle and Sebastians 2024 Tour,Alle nummers die de band in 2024 mee op tournee neemt.,2025-08-21T13:32:15Z,false
Shapeshifting,"Het spannende geluid van vooruitstrevende, moderne jazz.",2024-05-07T11:48:56Z,false
Signal to noise,Onze redacteurs selecteren elke week de beste experimentele nummers.,2023-03-11T19:32:09Z,false
Slaapmutsje,"“Hé Siri, speel Slaapmutsje playlist.”",2025-08-09T07:50:57Z,false
Spectrum,"Breed, hoog, diep: deze jazzvisionairs rekken grenzen speels op.",2023-03-21T05:02:15Z,false
Submerge,Deze klassiekers voeren je naar de chille wereld van deephouse.,2025-07-25T13:10:29Z,false
Techno,Rauwe duisternis of subtiele clubbeats: dit is de techno van nu.,2022-12-06T17:12:51Z,false
The underground,Deze broeiende beats drukken tegen de kelderdeuren van de club.,2023-03-20T04:33:54Z,false
Today's indierock,De moderne indierock stuitert levendig alle kanten op.,2022-12-07T16:49:24Z,false
Today's rock,De beste rockmuziek van dit moment.,2024-10-21T12:39:16Z,false
Trance & progressive,,2024-12-20T21:59:30Z,false
Unplug,Kom tot bezinning met deze tijdloze alternative rock.,2023-10-30T23:02:14Z,false
Untitled Playlist,,1970-01-01T00:00:00Z,false
