Artist,Album,Track,Year,Genre,Duration (min)
VNV Nation,Futureperfect,Beloved,2002,Alternative,7.41
Apoptygma Berzerk,Harmonizer - Deluxe Bonus Track Edition (Remastered),Until The End Of The World,2002,Electronic,5.91
Assemblage 23,Failure,Disappoint,2001,Electronic,5.57
Covenant,Northern Light,Call the Ships to Port,2002,Electronic,4.93
Icon of Coil,Serenity Is the Devil,Shallow Nation,2000,Alternative,4.74
Rotersand,Truth Is Fanatic Again,Merging Oceans (Neuroticfish Remix),2014,Electronic,5.26
Neuroticfish,A Greater Good - History 1998-2008,The Bomb,2008,Rock,5.93
Seabound,No Sleep Demon,Hooked,2001,Electronic,4.95
Pride and Fall,Nephesh,December,2003,Electronic,5.83
Frozen Plasma,Emphasize,Warmongers,2006,Pop,5.15
NamNamBulu,Blinded!,Now Or Never,2001,Pop,5.62
Colony 5,Structures,Black,2003,Electronic,3.44
Melotron,Werkschau (Deluxe Edition),Brüder,2014,Pop,4.29
mind.in.a.box,Lost Alone (Remaster),Change (Remaster),2024,Electronic,5.02
Liquid Divine,Autophobia,Sojourner,2009,Electronic,5.21
Diorama,A Different Life,Synthesize Me,2007,Electronic,4.32
Obscenity Trial,Über's wasser gehen - Single,Über's wasser gehen,2009,Pop,4.05
Michigan,The Nomad,The Nomad,2008,Electronic,4.03
Culture Kultür,Reborn,Wonder,2005,Dance,4.95
Informatik,Playing With Fire,How Long,2013,Alternative,4.55
