Artist,Album,Track,Year,Genre,Duration (min)
Age of Love,The Age Of Love (Remixes),The Age Of Love (Jam & Spoon Watch Out For Stella Mix),1990,Techno,6.81
Dance 2 Trance,Dance 2 Trance,We Came In Peace,1990,Dance,6.05
Hardfloor,Hardtrance Acperience - EP,Acperience 1,1992,Dance,9.05
Union Jack,The Complete 'Two Full Moons & a Trout',Two Full Moons & a Trout (Original Mix),1998,Electronic,9.62
Marmion,Berlin - EP,Schöneberg,1993,Techno,6.43
Jam & Spoon,Tripomatic Fairytales 2001 (Deluxe Edition),Stella,1992,Dance,6.32
Energy 52,60 Best Trance Hits Ever,Cafe del Mar (Three 'N' One Remix),2005,Trance,3.84
Jones & Stephenson,Rebirth,The First Rebirth,1997,Electronic,6.04
Binary Finary,"Armin Only - Mirage ""The Music""",1998 (Original Mix) [Mix Cut],2011,Dance,3.79
Humate,The World of Trance (40 Biggest Trance Hits Ever),Love Stimulation (Paul van Dyk's Lovemix) [Hörfunk-Edit],2010,Trance,3.53
Three Drives,Greece 2000,Greece 2000,1997,Dance,8.08
L.S.G.,"A State of Trance 500 (Mixed by Armin van Buuren, Paul Oakenfold, Markus Schulz, Cosmic Gate & Andy Moor)",Netherworld (Oliver Prime Remix),1997,Dance,11.12
Art of Trance,Platipus - Archive 9,Madagascar (Ferry Corsten Remix (Remastered 2009)),1995,Trance,5.95
