Artist,Album,Track,Year,Genre,Duration (min)
Portraits of Past,Portraits of Past,Something Less Than Intended,2025,Rock,6.32
Saetia,Collected,Venus and Bacchus,2001,Punk,3.33
I Hate Myself,Ten Songs,Caught In a Flood With the Captain of the Cheerleading Squad,1997,Alternative,3.44
Orchid,Chaos Is Me,New Jersey Vs. Valhalla,1999,Hardcore/Post Hardcore/Screamo,2.21
Jeromes Dream,Completed,It's More Like a Message to You,2005,Punk,3.51
Majority Rule,Interviews With David Frost,At 3 AM,2001,Alternative,4.11
pageninetynine,Document #8,In Love With an Apparition,2005,Punk,3.78
City of Caterpillar,City of Caterpillar,A Little Change Could Go a Long Ways,2002,Punk,9.65
Circle Takes the Square,As the Roots Undo,Non Objective Portrait of Karma,2004,Rock,6.70
Gospel,The Moon Is a Dead World,As Far as You Can Throw Me,2005,Metal,5.68
The Saddest Landscape,All Is Apologized For. All Is Forgiven,The Sixth Golden Ticket,2003,Alternative,5.86
Raein,Il n'y a pas de Orchestre,Tigersuit,2003,Punk,2.47
La quiete,La fine non è la fine,La fine non è la fine,2004,Punk,4.44
Daïtro,Laisser vivre les squelettes,Nous sommes d'ici,2005,Punk,9.16
Suis La Lune,Heir - EP,With Wings of Feathers & Glue,2012,Alternative,5.10
Sed Non Satiata,Le ciel de notre enfance - EP,Moi le premier,2005,Indie Rock,4.66
envy,Insomniac Doze,A Warm Room,2006,Metal,7.30
Heaven In Her Arms,Paraselene,Echoic Cold Wrist,2010,Alternative,9.44
Loma Prieta,Self Portrait,Love,2015,Metal,2.73
Frail Hands,Frail Hands,Convoy,2019,Punk,1.46
Gillian Carter,This Earth Shaped Tomb,This Earth Shaped Tomb,2018,Punk,4.91
State Faults,Resonate/Desperate,Wildfires,2013,Rock,3.78
Ostraca,Last - EP,Waiting For the Crash,2017,Alternative,3.63
Touché Amoré,...To the Beat of a Dead Horse,Honest Sleep,2009,Hardcore/Post Hardcore/Screamo,2.55
Pianos Become the Teeth,Old Pride,Filial,2010,Rock,5.26
Lord Snow,Solitude,She's Clearly Made the Most of It,2013,Classical,1.23
Infant Island,Where There Is Ruin - Single,Where There Is Ruin,2018,Metal,6.54
Kidcrash,Jokes,Life Was Real. Vital. Urgent. Important/Bum Guts,2007,Punk,6.56
Shizune,Le voyageur imprudent,Un telefono che non squilla,2015,Alternative,2.40
